WIDTH : 50 HEIGHT : 50
X: 49 Y: 32 side : 0
X: 5 Y: 14 side : 0
X: 48 Y: 47 side : 1
X: 24 Y: 8 side : 0
X: 7 Y: 15 side : 1
X: 35 Y: 38 side : 1
X: 0 Y: 40 side : 1
X: 27 Y: 40 side : 0
X: 41 Y: 17 side : 1
X: 3 Y: 45 side : 0
X: 2 Y: 46 side : 0
X: 38 Y: 3 side : 0
X: 34 Y: 3 side : 0
X: 38 Y: 28 side : 0
X: 10 Y: 37 side : 1
X: 19 Y: 22 side : 1
X: 32 Y: 24 side : 1
X: 3 Y: 4 side : 0
X: 13 Y: 47 side : 1
X: 33 Y: 2 side : 0
X: 5 Y: 4 side : 0
X: 12 Y: 44 side : 1
X: 30 Y: 31 side : 0
X: 48 Y: 21 side : 0
X: 24 Y: 31 side : 1
X: 17 Y: 2 side : 0
X: 49 Y: 34 side : 0
X: 22 Y: 40 side : 0
X: 36 Y: 3 side : 1
X: 17 Y: 36 side : 1
X: 47 Y: 44 side : 1
X: 23 Y: 6 side : 0
X: 2 Y: 38 side : 1
X: 35 Y: 39 side : 0
X: 47 Y: 15 side : 1
X: 49 Y: 35 side : 1
X: 23 Y: 34 side : 1
X: 23 Y: 8 side : 1
X: 28 Y: 45 side : 1
X: 31 Y: 14 side : 1
X: 35 Y: 12 side : 1
X: 44 Y: 37 side : 1
X: 0 Y: 42 side : 0
X: 37 Y: 27 side : 1
X: 45 Y: 26 side : 0
X: 38 Y: 25 side : 1
X: 31 Y: 0 side : 1
X: 13 Y: 24 side : 0
X: 34 Y: 4 side : 1
X: 9 Y: 35 side : 1
X: 23 Y: 20 side : 1
X: 32 Y: 17 side : 1
X: 48 Y: 19 side : 1
X: 6 Y: 9 side : 0
X: 3 Y: 6 side : 0
X: 15 Y: 45 side : 0
X: 13 Y: 28 side : 0
X: 46 Y: 41 side : 0
X: 40 Y: 28 side : 0
X: 27 Y: 37 side : 0
X: 29 Y: 12 side : 0
X: 46 Y: 45 side : 1
X: 49 Y: 43 side : 1
X: 46 Y: 49 side : 0
X: 22 Y: 4 side : 0
X: 25 Y: 19 side : 1
X: 7 Y: 34 side : 0
X: 37 Y: 33 side : 1
X: 44 Y: 23 side : 1
X: 2 Y: 1 side : 1
X: 0 Y: 32 side : 1
X: 17 Y: 28 side : 0
X: 4 Y: 28 side : 1
X: 11 Y: 26 side : 0
X: 27 Y: 1 side : 0
X: 0 Y: 26 side : 0
X: 19 Y: 35 side : 0
X: 15 Y: 22 side : 1
X: 5 Y: 16 side : 1
X: 22 Y: 21 side : 0
X: 29 Y: 21 side : 0
X: 49 Y: 40 side : 0
X: 13 Y: 45 side : 0
X: 23 Y: 8 side : 1
X: 33 Y: 38 side : 0
X: 48 Y: 38 side : 0
X: 34 Y: 9 side : 1
X: 2 Y: 25 side : 1
X: 6 Y: 32 side : 0
X: 33 Y: 6 side : 1
X: 11 Y: 36 side : 0
X: 21 Y: 37 side : 1
X: 9 Y: 2 side : 0
X: 30 Y: 27 side : 0
X: 27 Y: 11 side : 0
X: 25 Y: 11 side : 0
X: 1 Y: 45 side : 0
X: 12 Y: 49 side : 1
X: 45 Y: 5 side : 1
X: 47 Y: 38 side : 1
X: 20 Y: 49 side : 1
X: 17 Y: 22 side : 0
X: 4 Y: 32 side : 1
X: 38 Y: 14 side : 0
X: 32 Y: 41 side : 1
X: 13 Y: 16 side : 0
X: 35 Y: 19 side : 1
X: 17 Y: 31 side : 1
X: 24 Y: 26 side : 0
X: 15 Y: 26 side : 1
X: 11 Y: 46 side : 0
X: 46 Y: 15 side : 1
X: 17 Y: 21 side : 1
X: 44 Y: 9 side : 1
X: 46 Y: 44 side : 0
X: 12 Y: 9 side : 0
X: 38 Y: 44 side : 1
X: 10 Y: 14 side : 0
X: 31 Y: 38 side : 0
X: 9 Y: 4 side : 0
X: 26 Y: 17 side : 1
X: 45 Y: 13 side : 0
X: 36 Y: 32 side : 0
X: 11 Y: 28 side : 1
X: 2 Y: 25 side : 1
X: 34 Y: 37 side : 0
X: 32 Y: 25 side : 1
X: 1 Y: 37 side : 1
X: 1 Y: 18 side : 1
X: 31 Y: 30 side : 1
X: 36 Y: 8 side : 0
X: 41 Y: 5 side : 0
X: 11 Y: 43 side : 0
X: 3 Y: 6 side : 1
X: 5 Y: 8 side : 0
X: 2 Y: 42 side : 1
X: 11 Y: 26 side : 0
X: 12 Y: 29 side : 0
X: 29 Y: 32 side : 0
X: 36 Y: 14 side : 0
X: 48 Y: 2 side : 1
X: 30 Y: 43 side : 0
X: 26 Y: 4 side : 0
X: 7 Y: 8 side : 0
X: 16 Y: 15 side : 1
X: 2 Y: 19 side : 1
X: 25 Y: 30 side : 0
X: 23 Y: 44 side : 1
X: 11 Y: 25 side : 0
X: 20 Y: 12 side : 0
X: 8 Y: 12 side : 0
X: 7 Y: 42 side : 1
X: 14 Y: 19 side : 1
X: 14 Y: 28 side : 1
X: 22 Y: 44 side : 0
X: 39 Y: 46 side : 0
X: 1 Y: 21 side : 0
X: 39 Y: 46 side : 1
X: 8 Y: 8 side : 0
X: 12 Y: 28 side : 0
X: 30 Y: 38 side : 0
X: 48 Y: 48 side : 1
X: 13 Y: 12 side : 0
X: 31 Y: 26 side : 0
X: 8 Y: 48 side : 0
X: 1 Y: 40 side : 0
X: 13 Y: 41 side : 1
X: 5 Y: 32 side : 1
X: 44 Y: 42 side : 1
X: 9 Y: 5 side : 1
X: 37 Y: 35 side : 0
X: 28 Y: 36 side : 0
X: 11 Y: 49 side : 0
X: 17 Y: 32 side : 0
X: 1 Y: 41 side : 0
X: 29 Y: 42 side : 0
X: 7 Y: 5 side : 1
X: 6 Y: 12 side : 1
X: 3 Y: 9 side : 0
X: 9 Y: 18 side : 1
X: 46 Y: 5 side : 0
X: 22 Y: 35 side : 0
X: 46 Y: 46 side : 0
X: 34 Y: 15 side : 0
X: 48 Y: 16 side : 1
X: 15 Y: 45 side : 1
X: 19 Y: 2 side : 0
X: 17 Y: 10 side : 1
X: 48 Y: 14 side : 0
X: 22 Y: 25 side : 0
X: 1 Y: 21 side : 1
X: 20 Y: 46 side : 1
X: 24 Y: 42 side : 1
X: 28 Y: 29 side : 1
X: 17 Y: 29 side : 1
X: 48 Y: 44 side : 1
X: 20 Y: 16 side : 1
X: 0 Y: 35 side : 0
X: 43 Y: 33 side : 0
X: 45 Y: 6 side : 1
X: 17 Y: 9 side : 0
X: 47 Y: 29 side : 0
X: 12 Y: 4 side : 1
X: 25 Y: 34 side : 0
X: 4 Y: 3 side : 1
X: 2 Y: 2 side : 0
X: 43 Y: 24 side : 0
X: 40 Y: 26 side : 1
X: 46 Y: 20 side : 0
X: 18 Y: 17 side : 0
X: 15 Y: 37 side : 0
X: 36 Y: 36 side : 1
X: 0 Y: 0 side : 1
X: 11 Y: 27 side : 0
X: 1 Y: 34 side : 1
X: 21 Y: 36 side : 1
X: 37 Y: 29 side : 1
X: 19 Y: 21 side : 0
X: 36 Y: 18 side : 0
X: 38 Y: 38 side : 1
X: 47 Y: 6 side : 0
X: 17 Y: 42 side : 0
X: 18 Y: 44 side : 0
X: 24 Y: 8 side : 0
X: 16 Y: 9 side : 0
X: 13 Y: 30 side : 0
X: 13 Y: 17 side : 1
X: 36 Y: 36 side : 0
X: 36 Y: 24 side : 0
X: 10 Y: 13 side : 1
X: 0 Y: 12 side : 1
X: 28 Y: 31 side : 1
X: 43 Y: 1 side : 1
X: 7 Y: 27 side : 1
X: 49 Y: 45 side : 1
X: 25 Y: 9 side : 1
X: 39 Y: 22 side : 1
X: 32 Y: 8 side : 1
X: 47 Y: 47 side : 0
X: 31 Y: 7 side : 1
X: 4 Y: 9 side : 1
X: 35 Y: 40 side : 0
X: 12 Y: 33 side : 1
X: 34 Y: 42 side : 1
X: 13 Y: 42 side : 0
X: 4 Y: 19 side : 1
X: 26 Y: 9 side : 1
X: 19 Y: 41 side : 0
X: 48 Y: 38 side : 1
X: 4 Y: 20 side : 0
X: 23 Y: 26 side : 0
X: 6 Y: 14 side : 0
X: 22 Y: 26 side : 1
X: 42 Y: 10 side : 1
X: 37 Y: 26 side : 1
X: 27 Y: 30 side : 1
X: 29 Y: 8 side : 0
X: 2 Y: 27 side : 1
X: 36 Y: 26 side : 0
X: 17 Y: 32 side : 0
X: 10 Y: 6 side : 0
X: 12 Y: 14 side : 0
X: 4 Y: 39 side : 1
X: 31 Y: 31 side : 1
X: 0 Y: 20 side : 1
X: 14 Y: 49 side : 0
X: 47 Y: 28 side : 0
X: 43 Y: 33 side : 0
X: 30 Y: 19 side : 0
X: 8 Y: 39 side : 0
X: 8 Y: 1 side : 0
X: 37 Y: 13 side : 1
X: 31 Y: 19 side : 0
X: 2 Y: 0 side : 1
X: 36 Y: 2 side : 1
X: 45 Y: 16 side : 0
X: 35 Y: 15 side : 1
X: 36 Y: 8 side : 0
X: 14 Y: 39 side : 1
X: 20 Y: 49 side : 0
X: 8 Y: 10 side : 1
X: 5 Y: 49 side : 0
X: 18 Y: 30 side : 1
X: 20 Y: 33 side : 1
X: 5 Y: 21 side : 0
X: 10 Y: 16 side : 0
X: 14 Y: 4 side : 0
X: 49 Y: 40 side : 0
X: 17 Y: 6 side : 1
X: 7 Y: 28 side : 1
X: 39 Y: 36 side : 1
X: 21 Y: 43 side : 0
X: 19 Y: 11 side : 0
X: 37 Y: 31 side : 1
X: 6 Y: 36 side : 0
X: 28 Y: 46 side : 1
X: 17 Y: 11 side : 1
X: 21 Y: 10 side : 1
X: 35 Y: 30 side : 1
X: 39 Y: 39 side : 1
X: 42 Y: 28 side : 1
X: 9 Y: 1 side : 1
X: 23 Y: 23 side : 0
X: 17 Y: 10 side : 0
X: 49 Y: 18 side : 0
X: 1 Y: 47 side : 1
X: 20 Y: 14 side : 0
X: 45 Y: 37 side : 0
X: 12 Y: 22 side : 0
X: 35 Y: 11 side : 1
X: 38 Y: 5 side : 0
X: 28 Y: 14 side : 1
X: 13 Y: 39 side : 0
X: 9 Y: 9 side : 0
X: 39 Y: 8 side : 1
X: 6 Y: 11 side : 0
X: 21 Y: 34 side : 0
X: 49 Y: 29 side : 1
X: 37 Y: 44 side : 1
X: 10 Y: 31 side : 1
X: 19 Y: 20 side : 0
X: 11 Y: 0 side : 1
X: 5 Y: 15 side : 0
X: 21 Y: 24 side : 1
X: 2 Y: 16 side : 1
X: 49 Y: 22 side : 1
X: 45 Y: 45 side : 1
X: 7 Y: 44 side : 0
X: 6 Y: 33 side : 0
X: 27 Y: 43 side : 0
X: 12 Y: 13 side : 0
X: 5 Y: 26 side : 0
X: 14 Y: 31 side : 1
X: 12 Y: 5 side : 1
X: 20 Y: 7 side : 1
X: 37 Y: 8 side : 1
X: 16 Y: 5 side : 0
X: 29 Y: 12 side : 0
X: 24 Y: 18 side : 0
X: 12 Y: 47 side : 1
X: 34 Y: 12 side : 0
X: 28 Y: 17 side : 1
X: 22 Y: 33 side : 0
X: 33 Y: 47 side : 1
X: 21 Y: 19 side : 0
X: 22 Y: 9 side : 0
X: 48 Y: 25 side : 1
X: 20 Y: 7 side : 1
X: 35 Y: 31 side : 1
X: 35 Y: 45 side : 1
X: 28 Y: 32 side : 1
X: 37 Y: 10 side : 0
X: 22 Y: 35 side : 1
X: 38 Y: 18 side : 0
X: 12 Y: 39 side : 0
X: 44 Y: 14 side : 1
X: 35 Y: 14 side : 0
X: 32 Y: 34 side : 1
X: 42 Y: 19 side : 0
X: 21 Y: 6 side : 0
X: 48 Y: 35 side : 0
X: 39 Y: 22 side : 0
X: 47 Y: 46 side : 1
X: 40 Y: 34 side : 0
X: 31 Y: 48 side : 1
X: 45 Y: 43 side : 1
X: 16 Y: 28 side : 1
X: 14 Y: 10 side : 0
X: 22 Y: 4 side : 1
X: 10 Y: 26 side : 0
X: 46 Y: 26 side : 1
X: 14 Y: 16 side : 1
X: 43 Y: 15 side : 1
X: 8 Y: 6 side : 1
X: 42 Y: 39 side : 0
X: 16 Y: 34 side : 1
X: 5 Y: 2 side : 1
X: 9 Y: 18 side : 1
X: 47 Y: 40 side : 0
X: 6 Y: 3 side : 0
X: 24 Y: 1 side : 0
X: 25 Y: 18 side : 0
X: 2 Y: 11 side : 0
X: 25 Y: 19 side : 0
X: 33 Y: 12 side : 1
X: 41 Y: 30 side : 1
X: 40 Y: 37 side : 1
X: 19 Y: 48 side : 1
X: 10 Y: 47 side : 0
X: 6 Y: 6 side : 1
X: 28 Y: 30 side : 0
X: 27 Y: 8 side : 0
X: 45 Y: 10 side : 1
X: 27 Y: 38 side : 1
X: 17 Y: 21 side : 1
X: 46 Y: 14 side : 1
X: 11 Y: 4 side : 0
X: 28 Y: 25 side : 1
X: 16 Y: 37 side : 0
X: 44 Y: 44 side : 0
X: 27 Y: 22 side : 1
X: 11 Y: 1 side : 1
X: 14 Y: 47 side : 1
X: 31 Y: 26 side : 1
X: 18 Y: 44 side : 0
X: 19 Y: 42 side : 0
X: 2 Y: 6 side : 0
X: 23 Y: 34 side : 1
X: 44 Y: 2 side : 1
X: 12 Y: 46 side : 1
X: 37 Y: 23 side : 1
X: 44 Y: 37 side : 1
X: 9 Y: 1 side : 0
X: 36 Y: 32 side : 0
X: 2 Y: 3 side : 0
X: 38 Y: 22 side : 1
X: 41 Y: 25 side : 1
X: 49 Y: 0 side : 1
X: 35 Y: 44 side : 0
X: 6 Y: 8 side : 0
X: 23 Y: 45 side : 0
X: 14 Y: 41 side : 1
X: 7 Y: 0 side : 0
X: 47 Y: 37 side : 0
X: 16 Y: 39 side : 1
X: 30 Y: 29 side : 0
X: 37 Y: 22 side : 1
X: 0 Y: 24 side : 1
X: 0 Y: 9 side : 1
X: 2 Y: 17 side : 1
X: 2 Y: 42 side : 1
X: 26 Y: 6 side : 0
X: 37 Y: 14 side : 1
X: 3 Y: 13 side : 0
X: 2 Y: 31 side : 1
X: 3 Y: 12 side : 0
X: 31 Y: 49 side : 1
X: 32 Y: 2 side : 1
X: 37 Y: 2 side : 0
X: 36 Y: 6 side : 1
X: 46 Y: 8 side : 1
X: 1 Y: 37 side : 1
X: 49 Y: 26 side : 1
X: 48 Y: 30 side : 1
X: 36 Y: 32 side : 0
X: 13 Y: 37 side : 0
X: 20 Y: 19 side : 0
X: 3 Y: 3 side : 0
X: 8 Y: 43 side : 0
X: 24 Y: 29 side : 0
X: 7 Y: 27 side : 0
X: 34 Y: 30 side : 1
X: 17 Y: 30 side : 0
X: 17 Y: 30 side : 0
X: 30 Y: 17 side : 0
X: 24 Y: 32 side : 1
X: 33 Y: 2 side : 0
X: 41 Y: 5 side : 0
X: 3 Y: 15 side : 1
X: 19 Y: 39 side : 0
X: 41 Y: 48 side : 0
X: 23 Y: 34 side : 0
X: 43 Y: 2 side : 0
X: 37 Y: 21 side : 1
X: 15 Y: 1 side : 0
X: 23 Y: 27 side : 0
X: 22 Y: 10 side : 1
X: 43 Y: 3 side : 0
X: 17 Y: 6 side : 0
X: 34 Y: 27 side : 1
X: 34 Y: 18 side : 0
X: 12 Y: 42 side : 0
X: 21 Y: 35 side : 0
X: 9 Y: 24 side : 1
X: 32 Y: 39 side : 0
X: 20 Y: 14 side : 0
X: 43 Y: 38 side : 0
X: 20 Y: 31 side : 0
X: 4 Y: 0 side : 0
X: 4 Y: 36 side : 0
X: 46 Y: 21 side : 0
X: 38 Y: 33 side : 0
X: 12 Y: 4 side : 1
X: 43 Y: 16 side : 1
X: 42 Y: 48 side : 0
X: 45 Y: 21 side : 0
X: 25 Y: 16 side : 1
X: 15 Y: 38 side : 0
X: 11 Y: 44 side : 1
X: 14 Y: 49 side : 1
X: 46 Y: 47 side : 0
X: 46 Y: 37 side : 0
X: 43 Y: 49 side : 0
X: 24 Y: 44 side : 0
X: 32 Y: 37 side : 1
X: 32 Y: 34 side : 0
X: 47 Y: 9 side : 0
X: 0 Y: 26 side : 0
X: 38 Y: 38 side : 0
X: 25 Y: 4 side : 1
X: 1 Y: 0 side : 0
X: 47 Y: 48 side : 1
X: 29 Y: 41 side : 1
X: 16 Y: 18 side : 1
X: 20 Y: 2 side : 0
X: 25 Y: 34 side : 0
X: 1 Y: 31 side : 1
X: 45 Y: 33 side : 0
X: 29 Y: 22 side : 0
X: 6 Y: 49 side : 0
X: 35 Y: 2 side : 0
X: 12 Y: 0 side : 0
X: 25 Y: 29 side : 0
X: 40 Y: 47 side : 0
X: 2 Y: 18 side : 0
X: 0 Y: 43 side : 0
X: 33 Y: 45 side : 0
